2nd world war	World_War_II
3rd infantry division	3rd_Infantry_Division_(United_States)
a-rod	Alex_Rodriguez
aa	82nd_Academy_Awards
aa	83rd_Academy_Awards
aa	Alcoa
aa	Alcoholics_Anonymous
aa	Alto
aa	American_Airlines
aa	American_Association_(19th_century)
aa	American_Association_(20th_century)
aa	American_Eagle_Airlines
aa	Ankara_Agreement
aa	Anti-aircraft_warfare
aa	Close-in_weapon_system
aa	College_Football_All-America_Team
aa	Foreign_Office_(Germany)
aa	John_Cena
aa	Minor_League_Baseball
aa	Southern_League_(baseball)
aap	American_Academy_of_Pediatrics
aap	Ap_(water)
aap	Apollo_Applications_Program
aap	Associated_Artists_Productions
aap	Association_of_American_Publishers
aap	Associação_Atlética_Portuguesa_(RJ)
aap	Australian_Associated_Press
aau	Amateur_Athletic_Union
aau	Association_of_African_Universities
aau	Association_of_American_Universities
aau	USA_Outdoor_Track_and_Field_Championships
abc	ABC_(band)
abc	ABC_(song)
abc	ABC_Classic_FM
abc	ABC_Commercial
abc	ABC_Daytime
abc	ABC_Entertainment
abc	ABC_Kids_(US)
abc	ABC_News
abc	ABC_News_(Australia)
abc	ABC_News_Radio
abc	ABC_Radio_and_Regional_Content
abc	ABC_Records
abc	ABC_Studios
abc	ABC_Television
abc	ABC_World_News
abc	ABC_islands_(Lesser_Antilles)
abc	ABC1
abc	American_Broadcasting_Company
abc	Australian_Broadcasting_Company
abc	Australian_Broadcasting_Corporation
abc	Connecticut
abc	Cumulus_Media_Networks
abc	Disney–ABC_Television_Group
abc	ESPN_Sunday_Night_Football
abc	ESPN_on_ABC
abc	Good_Morning_America
abc	KABC-TV
abc	KGO-TV
abc	Monday_Night_Football
abc	NBA_on_ESPN
abc	Polydor_Records
abc	WPVI-TV
abc	Wide_World_of_Sports_(U.S._TV_series)
acm	A.C._Milan
acm	Academy_of_Country_Music
acm	Air_chief_marshal
acm	Association_for_Computing_Machinery
acm	Australians_for_Constitutional_Monarchy
acm	Querétaro_F.C.
acm awards	Academy_of_Country_Music
acm awards	Academy_of_Country_Music_Awards
acm awards	Association_for_Computing_Machinery
ada	Ada_(programming_language)
ada	Americans_for_Democratic_Action
ada	Americans_with_Disabilities_Act_of_1990
ada	French_Air_Force
adb	Adnan_Menderes_Airport
adb	African_Development_Bank
adb	Allgemeine_Deutsche_Biographie
adb	Apple_Desktop_Bus
adb	Asian_Development_Bank
adb	Asian_elephant
adb	Australian_Dictionary_of_Biography
afghanistan	Afghanistan
afghanistan	French_forces_in_Afghanistan
afghanistan	International_Security_Assistance_Force
afghanistan	Islamic_Emirate_of_Afghanistan
afghanistan	Military_of_Afghanistan
afghanistan	Operation_Enduring_Freedom
afghanistan	Opium_production_in_Afghanistan
afghanistan	President_of_Afghanistan
afghanistan	Soviet_war_in_Afghanistan
afghanistan	Taliban_insurgency
afghanistan	War_in_Afghanistan_(2001–present)
afghanistan	War_on_Terror
africa	Africa
africa	Africa_Cup_of_Nations
africa	African_American
africa	Ancient_Libya
africa	East_African_Campaign_(World_War_II)
africa	Exarchate_of_Africa
africa	Ifriqiya
africa	Kenya
africa	Moors
africa	North_Africa
africa	North_Africa_during_Antiquity
africa	North_African_Campaign
africa	Portuguese_Empire
africa	Recent_African_origin_of_modern_humans
africa	Setanta_Sports
africa	Sub-Saharan_Africa
alabama	Alabama
alabama	1944_Alabama_Crimson_Tide_football_team
alabama	2007_Alabama_Crimson_Tide_football_team
alabama	2008_Alabama_Crimson_Tide_football_team
alabama	Alabama_Crimson_Tide_men's_basketball
alabama	Talladega_Superspeedway
alabama	University_of_Alabama
ali	Ali
ali	Alicante_CF
ali	CB_Lucentum_Alicante
ali	Ali_(film)
ali	Ali_Osman
ali	Husain_Ali
ali	Muhammad_Ali
america	America_(band)
america	1994_FIFA_World_Cup
america	America_(1924_film)
america	American_Jews
america	American_Revolution
america	American_Revolutionary_War
america	Americans
america	Americas
america	Boy_Scouts_of_America
america	British_North_America
america	Indigenous_peoples_of_the_Americas
america	Latin_America
america	Miss_America
america	Native_Americans_in_the_United_States
america	New_World
america	North_America
america	Northern_America
america	Northern_Hemisphere
america	Plymouth_Colony
america	RIAA_certification
america	Recording_Industry_Association_of_America
america	South_America
america	Spanish_Empire
america	Thirteen_Colonies
america	United_States
america	United_States_men's_national_soccer_team
amtrak	Amtrak
ana	Afghan_National_Army
ana	All_Nippon_Airways
ana	Anaheim_Ducks
ana	Los_Angeles_Angels_of_Anaheim
ana	Yokohama_Flügels
ana	Ana_Gasteyer
ana	Anorexia_nervosa
angel	Angel
angel	Maximum_Ride
angel	Angel_(Chiara_song)
